Action ID,Deal Type,Announce Date,Target Ticker,Acquirer Ticker,Deal Status,Deal Offer,Deal Attributes,Deal Description,Currency of Deal,Proposed Deal Type,Payment Type,Proposal Date,Amendment Date,Competing Bid Date,Completion/Termination Date,Announced Premium,Competing Bid Premium,Current Premium,Percent Owned,Percent Sought,Target Termination Fee,Acquirer Termination Fee,Has Contingency Payment,Target Industry Sector,Acquirer Industry Sector,Adviser Fees Disclosed,Target Legal Adviser,Acquirer Legal Adviser,Legal Adviser to Target Financial,Legal Adviser to Acquirer Financial,Target Financial Adviser,Acquirer Financial Adviser,Acquirer Financial Adviser Fee,Nature of Bid,Target Country/Region,Acquirer Country/Region,Target Security Description,Acquirer Security Description,Target Security Type,Acquirer Security Type,Target Revenue,Target Total Assets,Acquirer Total Assets,Acquirer Revenue,Target Gross Fixed Assets,Acquirer Gross Fixed Assets,Target Other Current Assets,Acquirer Other Assets,Target Current Assets to Total Assets,Acquirer Current Assets to Total Assets,Target Current Assets Reported,Acquirer Current Assets Reported,Acquirer Other Assets to Total Assets,Target Total Assets (FY-Specific - BDP),Target Revenue (FY-Specific - BDP),Acquirer Total Assets (FY-Specific - BDP),Acquirer Revenue (FY-Specific - BDP),Target Total Assets (Best Available),Target Total Assets Source,Acquirer Total Assets (Best Available),Acquirer Total Assets Source,Target Revenue (Best Available),Target Revenue Source,Acquirer Revenue (Best Available),Acquirer Revenue Source,Announced Total Value (mil.),Regime No.,Regime Start,Regime End,Intermediate Combined (R'm),Intermediate Target (R'm),Large Combined (R'm),Large Target (R'm),CPI Index (Dec 2024=100),CPI YoY %,Nominal GDP (R million),"Real GDP (R million, 2015 prices)","GDP Deflator (Index, 2015=100)",GDP Deflator YoY %,Market Capitalisation (R million),"Combined Limb Value (best of 4 routes, R'm)","Target Limb Value (max of assets/turnover, R'm)",Classification,Data Completeness,Year
100026324,INV,2014/12/15,DAW SJ,DAW SJ,Completed,,Minority Purchase,Ukhamba Holdings Pty Ltd sold a minority stake in Distribution and Warehousing Network Ltd to Distribution and Warehousing Network Ltd. The transaction was completed on 12/15/2014.,ZAR,,Cash,,,,2014/12/15,,,,0.000000,32.250000,,,No,Consumer Discretionary,Consumer Discretionary,N,,Webber Wentzel,,,,PwC,,Friendly,South Africa,South Africa,DAW,DAW,Common Stock,Common Stock,3478.63,1222.27,1222.27,3478.63,304.146,304.146,91.364,,92.9678,92.9678,1136.31,1136.31,,3017.595,3763.476,3017.595,3763.476,3017.595,FY-specific (point-in-time),3017.595,FY-specific (point-in-time),3763.476,FY-specific (point-in-time),3763.476,FY-specific (point-in-time),664.13,3,2009-04-01,2017-09-30,560,80,6600,190,61.0166666666667,6.05,4133873.0,4363118.1,94.7458424286063,5.36654656658044,11505020.0,6957.26,3478.63,Large,Full (4/4),2014
100560439,INV,2014/12/24,TSX SJ,GRSP SJ,Completed,,Additional Stake Purchase,Goldrush Holdings Ltd acquired Trans Hex Group Ltd. The transaction was completed on 12/24/2014. Financial terms of the transaction are undisclosed.,ZAR,,Undisclosed,,,,2014/12/24,,,,24.299999,0.700100,,,No,Materials,Financials,N,,,,,,,,Friendly,South Africa,South Africa,TSX,GRSP,Common Stock,Preference,312.556,800.273,3012.47,1932.48,909.176,1923.11,33.608,,17.1065,11.2516,136.899,338.952,,990.427,751.304,606.024023,20.773118,990.427,FY-specific (point-in-time),606.024023,FY-specific (point-in-time),751.304,FY-specific (point-in-time),20.773118,FY-specific (point-in-time),,3,2009-04-01,2017-09-30,560,80,6600,190,61.0166666666667,6.05,4133873.0,4363118.1,94.7458424286063,5.36654656658044,11505020.0,3812.743,800.273,Intermediate,Full (4/4),2014
10075015,M&A,2003/1/24,BNT SJ,FVT SJ,Terminated,,Company Takeover,Fairvest Property Holdings Ltd announced the acquisition of Bonatla Property Holdings Ltd for ZAR 177.30M. The transaction was announced on 1/24/2003 and terminated on 5/2/2003.,ZAR,,Stock,,,,2003/5/2,,,,0.000000,100.000000,,,No,Real Estate,Real Estate,N,,,,,,,,Friendly,South Africa,South Africa,BNT,FVT,Common Stock,REIT,7.648,376.524,3822.85,579.566,93.535,,0.583,,30.5864,,115.165,174.43,,649.8189697265625,116.39700317382812,,,649.8189697265625,FY-specific (point-in-time),3822.85,MA-screen (current/latest - NOT point-in-time),116.39700317382812,FY-specific (point-in-time),579.566,MA-screen (current/latest - NOT point-in-time),177.30,2,2001-02-01,2009-03-31,200,30,3500,100,33.675,5.96666666666667,1490399.0,3099254.3,48.0889548172927,6.39575753417796,1787194.0,4199.374,376.524,Large,Full (4/4),2003
10082587,M&A,2003/1/27,PON SJ,JDG SJ,Completed,,"Company Takeover, Additional Stake Purchase",JD Group Ltd/South Africa acquired Profurn Ltd for ZAR 240.67M. The transaction was announced on 1/27/2003 and completed on 4/23/2003.,ZAR,,Stock,,,,2003/4/23,5.15,,,78.800003,21.200001,,,No,Consumer Discretionary,Consumer Discretionary,N,,Feinsteins Attor,,,,Gensec Bank,,Friendly,South Africa,South Africa,PON,JDG,Common Stock,Common Stock,2719.63,3497.23,21035,30582,481.255,3478,104.592,,92.2243,67.4257,3225.3,14183,,,,4253,4083,3497.23,MA-screen (current/latest - NOT point-in-time),4253.0,FY-specific (point-in-time),2719.63,MA-screen (current/latest - NOT point-in-time),4083.0,FY-specific (point-in-time),240.67,2,2001-02-01,2009-03-31,200,30,3500,100,33.675,5.96666666666667,1490399.0,3099254.3,48.0889548172927,6.39575753417796,1787194.0,34079.23,3497.23,Large,Full (4/4),2003
101568253,M&A,2014/10/15,LHG SJ,ENDPQ US,Completed,,"Company Takeover, Cross Border, Additional Stake Purchase",Endo International PLC acquired Litha Healthcare Group Ltd for ZAR 461.70M. The transaction was announced on 10/15/2014 and completed on 2/10/2015.,ZAR,,Cash,,,,2015/2/10,11.36,,,70.000000,30.000000,,,No,Health Care,Health Care,N,,,,,,Nedbank Capital,,Friendly,South Africa,United States,LHG,ENDPQ,Common Stock,Common Stock,1045.33,1944.3,93821.4,37127.5,99.704,15774.1,49.945,,33.2892,32.4782,647.241,30471.5,,1944.3,1045.332,6571.856,2124.681,1944.3,FY-specific (point-in-time),6571.856,FY-specific (point-in-time),1045.332,FY-specific (point-in-time),2124.681,FY-specific (point-in-time),461.70,3,2009-04-01,2017-09-30,560,80,6600,190,61.0166666666667,6.05,4133873.0,4363118.1,94.7458424286063,5.36654656658044,11505020.0,95765.7,1944.3,Large,Full (4/4),2014
101824608,INV,2015/1/26,SPP SJ,184023Z SJ,Completed,,"Private Equity, Minority Purchase",Public Investment Corp Ltd acquired a minority stake in SPAR Group Ltd/The. The transaction was completed on 1/26/2015. Financial terms of the transaction are undisclosed.,ZAR,,Undisclosed,,,,2015/1/26,,,,0.000000,20.002001,,,No,Consumer Staples,Financials,N,,,,,,,,Friendly,South Africa,South Africa,SPP,184023Z,Common Stock,Private Comp,131458,46212.1,4617.25,1261.76,17674,185.389,3710,,57.1681,85.5959,26418.6,3952.18,,17122.6,54483,1206.976,808.88,17122.6,FY-specific (point-in-time),1206.976,FY-specific (point-in-time),54483.0,FY-specific (point-in-time),808.88,FY-specific (point-in-time),,3,2009-04-01,2017-09-30,560,80,6600,190,63.825,4.58333333333333,4420792.5,4420792.5,100.0,5.54552837012652,11727560.0,136075.25,131458.0,Large,Full (4/4),2015
101825286,INV,2015/1/26,NPK SJ,0229878D LN,Completed,,"Cross Border, Minority Purchase",Somerset Capital Management LLP acquired a minority stake in Nampak Ltd. The transaction was completed on 1/26/2015. Financial terms of the transaction are undisclosed.,ZAR,,Undisclosed,,,,2015/1/26,,,,0.000000,5.030000,,,No,Materials,Financials,N,,,,,,,,Friendly,South Africa,United Kingdom,NPK,0229878D,Common Stock,Private Comp,10726.8,10992.4,227.751,479.522,7993.5,,1223.4,,54.7142,93.4516,6014.4,212.837,,21891.1,15305.6,6.61405014235,12.479166883651953,21891.1,FY-specific (point-in-time),6.61405014235,FY-specific (point-in-time),15305.6,FY-specific (point-in-time),12.479166883651953,FY-specific (point-in-time),,3,2009-04-01,2017-09-30,560,80,6600,190,63.825,4.58333333333333,4420792.5,4420792.5,100.0,5.54552837012652,11727560.0,11471.922,10992.4,Large,Full (4/4),2015
102634716,INV,2015/2/12,SAP SJ,184023Z SJ,Completed,,Minority Purchase,Public Investment Corp Ltd acquired a minority stake in Sappi Ltd. The transaction was completed on 2/12/2015. Financial terms of the transaction are undisclosed.,ZAR,,Undisclosed,,,,2015/2/12,,,,0.000000,15.573000,,,No,Materials,Financials,N,,,,,,,,Friendly,South Africa,South Africa,SAP,184023Z,Common Stock,Private Comp,98019.3,104825,4617.25,1261.76,176608,185.389,2399.65,,28.6397,85.5959,30021.6,3952.18,,5465,6061,1206.976,808.88,5465.0,FY-specific (point-in-time),1206.976,FY-specific (point-in-time),6061.0,FY-specific (point-in-time),808.88,FY-specific (point-in-time),,3,2009-04-01,2017-09-30,560,80,6600,190,63.825,4.58333333333333,4420792.5,4420792.5,100.0,5.54552837012652,11727560.0,109442.25,104825.0,Large,Full (4/4),2015
102768640,M&A,2015/2/16,SPO SJ,TOR SJ,Completed,,Company Takeover,A consortium led by Private Investor sold Set Point Group Ltd to Torre Industries Ltd for ZAR 354.46M. The transaction was announced on 2/16/2015 and completed on 5/1/2015.,ZAR,,Stock,,,,2015/5/1,,,,0.000000,100.000000,,,No,Industrials,Industrials,N,,,,,,,,Friendly,South Africa,South Africa,SPO,TOR,Common Stock,Common Stock,359.376,235.593,1161,1450,72.373,436,54.373,,67.699,69.1645,159.494,803,,,,956.831,433.13,235.593,MA-screen (current/latest - NOT point-in-time),956.831,FY-specific (point-in-time),359.376,MA-screen (current/latest - NOT point-in-time),433.13,FY-specific (point-in-time),354.46,3,2009-04-01,2017-09-30,560,80,6600,190,63.825,4.58333333333333,4420792.5,4420792.5,100.0,5.54552837012652,11727560.0,1809.376,359.376,Intermediate,Full (4/4),2015
102805375,M&A,2015/2/17,213619Z SJ,TKG SJ,Withdrawn,,"Company Takeover, Cross Border","On 11/19/2015 Telkom withdrew their interest in Cell C. On 11/09/2015, Telkom SA announced that the companies were still in discussions. On 10/29/2015 it was reported that shareholders of Cell C rejected the ZAR 14,000.00M offer from Telkom SA. On 09/23/2015, the CEO of Cell C Pty Ltd stated ...",ZAR,Negotiation,Undisclosed,2015/2/17,,,2015/11/19,,,,0.000000,100.000000,,,No,Communications,Communications,N,,,,,,,,Friendly,South Africa,South Africa,213619Z,TKG,Private Comp,Common Stock,15749.1,25636.3,64418,44477,34750.5,,96.7123,,17.6911,28.8211,4535.34,18566,,15475.813,11634.148,39405,31288,15475.813,FY-specific (point-in-time),39405.0,FY-specific (point-in-time),11634.148,FY-specific (point-in-time),31288.0,FY-specific (point-in-time),13999.94,3,2009-04-01,2017-09-30,560,80,6600,190,63.825,4.58333333333333,4420792.5,4420792.5,100.0,5.54552837012652,11727560.0,90054.3,25636.3,Large,Full (4/4),2015
103008079,INV,2015/2/23,AIP SJ,BVT SJ,Completed,,Additional Stake Purchase,Bidvest Group Ltd/The acquired Adcock Ingram Holdings Ltd for ZAR 299.74M. The transaction was announced on 2/23/2015 and completed on 5/18/2015.,ZAR,,Cash,,,,2015/5/18,,,,33.720001,3.280000,,,No,Health Care,Consumer Staples,N,,Edward Nathan,,,,Investec,,Friendly,South Africa,South Africa,AIP,BVT,Common Stock,Common Stock,9760.33,8735.68,122623,130321,2967.08,40740.4,214.008,,60.0069,43.1532,5242.02,52915.8,,5405.842,,80975.47,161612.418,5405.842,FY-specific (point-in-time),80975.47,FY-specific (point-in-time),9760.33,MA-screen (current/latest - NOT point-in-time),161612.418,FY-specific (point-in-time),299.74,3,2009-04-01,2017-09-30,560,80,6600,190,63.825,4.58333333333333,4420792.5,4420792.5,100.0,5.54552837012652,11727560.0,140081.33,9760.33,Large,Full (4/4),2015
103063244,M&A,2015/2/24,AIA SJ,REB SJ,Completed,,"Company Takeover, Additional Stake Purchase",Rebosis Property Fund Ltd acquired Ascension Properties Ltd for ZAR 2487.52M. The transaction was announced on 2/24/2015 and completed on 4/25/2017.,ZAR,,Stock,,,,2017/4/25,,,,33.869999,66.129997,,,No,Real Estate,Real Estate,N,,Cliffe Dekker Ho,,,Java Capital,,,Friendly,South Africa,South Africa,AIA,REB,REIT,REIT,533.595,4331.78,13512.2,1666.66,,,,,,,102.76,316.407,,3823.853,353.101,7852.361,884.378,3823.853,FY-specific (point-in-time),7852.361,FY-specific (point-in-time),353.101,FY-specific (point-in-time),884.378,FY-specific (point-in-time),2487.52,3,2009-04-01,2017-09-30,560,80,6600,190,63.825,4.58333333333333,4420792.5,4420792.5,100.0,5.54552837012652,11727560.0,17843.98,4331.78,Large,Full (4/4),2015
104477899,INV,2015/3/18,AVV SJ,IVZ US,Completed,,"Cross Border, Additional Stake Purchase",Invesco Ltd acquired Alviva Holdings Ltd. The transaction was completed on 3/18/2015. Financial terms of the transaction are undisclosed.,ZAR,,Undisclosed,,,,2015/3/18,,,,14.440000,0.810000,,,No,Consumer Discretionary,Financials,N,,,,,,,,Friendly,South Africa,United States,AVV,IVZ,Common Stock,Common Stock,23429.2,9722.62,448864,114019,1118.96,,258.591,,74.7893,,7271.48,,,3346.679,7152.444,20450,5147.1,3346.679,FY-specific (point-in-time),20450.0,FY-specific (point-in-time),7152.444,FY-specific (point-in-time),5147.1,FY-specific (point-in-time),,3,2009-04-01,2017-09-30,560,80,6600,190,63.825,4.58333333333333,4420792.5,4420792.5,100.0,5.54552837012652,11727560.0,472293.2,23429.2,Large,Full (4/4),2015
104685922,M&A,2014/12/10,PPC SJ,783608Z SJ,Terminated,,Company Takeover,AfriSam South Africa Pty Ltd announced the acquisition of PPC Ltd. The transaction was announced on 12/10/2014 and terminated on 3/27/2015. Financial terms of the transaction are undisclosed.,ZAR,,Undisclosed,,,,2015/3/27,,,,0.000000,100.000000,,,No,Materials,Materials,N,,,,,,,,Friendly,South Africa,South Africa,PPC,783608Z,Common Stock,Private Comp,10255,10106,17859.6,6843.75,14857,4035.82,8,,35.5333,7.37279,3591,1316.75,,8876,8316,,,8876.0,FY-specific (point-in-time),17859.6,MA-screen (current/latest - NOT point-in-time),8316.0,FY-specific (point-in-time),6843.75,MA-screen (current/latest - NOT point-in-time),,3,2009-04-01,2017-09-30,560,80,6600,190,61.0166666666667,6.05,4133873.0,4363118.1,94.7458424286063,5.36654656658044,11505020.0,28114.6,10255.0,Large,Full (4/4),2014
105216684,INV,2015/4/8,CDZ SJ,SCP SJ,Completed,,"Cross Border, Minority Purchase",Stellar Capital Partners Ltd acquired a minority stake in Cadiz Holdings Ltd. The transaction was announced on 4/8/2015 and completed on 4/7/2015.,ZAR,,Cash,,,,2015/4/7,,,,0.000000,16.450001,,,No,Financials,Financials,N,,,,,,,,Friendly,South Africa,United Kingdom,CDZ,SCP,Common Stock,Common Stock,623.113,6668.99,1151.61,75.586,,,,,,,,471.107,,6149.936,212.902,,,6149.936,FY-specific (point-in-time),1151.61,MA-screen (current/latest - NOT point-in-time),212.902,FY-specific (point-in-time),75.586,MA-screen (current/latest - NOT point-in-time),45.28,3,2009-04-01,2017-09-30,560,80,6600,190,63.825,4.58333333333333,4420792.5,4420792.5,100.0,5.54552837012652,11727560.0,7820.599999999999,6668.99,Large,Full (4/4),2015
106151682,INV,2015/4/29,MRF SJ,GLEN LN,Completed,,"Cross Border, Minority Purchase",Royal Bafokeng Platinum Ltd sold a minority stake in Merafe Resources Ltd to Glencore PLC. The transaction was completed on 4/29/2015. Financial terms of the transaction are undisclosed.,ZAR,,Undisclosed,,,,2015/4/29,,,,0.000000,28.680000,,,No,Materials,Materials,N,,,,,,,,Friendly,South Africa,Switzerland,MRF,GLEN,Common Stock,Common Stock,5834.88,6056.01,2.3558e+06,4.42579e+06,6567.16,2.07326e+06,577.481,,78.2643,47.1382,4739.69,1.11048e+06,,5401.147,3609.066,152205,221073,5401.147,FY-specific (point-in-time),152205.0,FY-specific (point-in-time),3609.066,FY-specific (point-in-time),221073.0,FY-specific (point-in-time),,3,2009-04-01,2017-09-30,560,80,6600,190,63.825,4.58333333333333,4420792.5,4420792.5,100.0,5.54552837012652,11727560.0,4431846.01,6056.01,Large,Full (4/4),2015
106890033,INV,2015/5/13,SNT SJ,SNT SJ,Pending,,Minority Purchase,Central Plaza Investments 112 Pty Ltd announced the sale of a minority stake in Santam Ltd to Santam Ltd. The transaction was announced on 5/13/2015 and is currently pending.,ZAR,,Cash,,,,,,,,0.000000,3.530000,,,No,Financials,Financials,N,,,,,,,,Friendly,South Africa,South Africa,SNT,SNT,Common Stock,Common Stock,50952,82392,82392,50952,,,,,,,,,,25184,19434,25184,19434,25184.0,FY-specific (point-in-time),25184.0,FY-specific (point-in-time),19434.0,FY-specific (point-in-time),19434.0,FY-specific (point-in-time),800.85,3,2009-04-01,2017-09-30,560,80,6600,190,63.825,4.58333333333333,4420792.5,4420792.5,100.0,5.54552837012652,11727560.0,164784.0,82392.0,Large,Full (4/4),2015
107941646,INV,2015/6/8,RMH SJ,184023Z SJ,Completed,,Additional Stake Purchase,Public Investment Corp Ltd acquired RMB Holdings Ltd. The transaction was completed on 6/8/2015. Financial terms of the transaction are undisclosed.,ZAR,,Undisclosed,,,,2015/6/8,,,,9.987000,0.044000,,,No,Financials,Financials,N,,,,,,,,Friendly,South Africa,South Africa,RMH,184023Z,Common Stock,Private Comp,13,720,4617.25,1261.76,,185.389,,,,85.5959,,3952.18,,33566,0,1206.976,808.88,33566.0,FY-specific (point-in-time),1206.976,FY-specific (point-in-time),0.0,FY-specific (point-in-time),808.88,FY-specific (point-in-time),,3,2009-04-01,2017-09-30,560,80,6600,190,63.825,4.58333333333333,4420792.5,4420792.5,100.0,5.54552837012652,11727560.0,5337.25,720.0,Intermediate,Full (4/4),2015
108021185,INV,2015/6/9,NPK SJ,LAZ US,Completed,,"Cross Border, Minority Purchase",Lazard Inc acquired a minority stake in Nampak Ltd. The transaction was completed on 6/9/2015. Financial terms of the transaction are undisclosed.,ZAR,,Undisclosed,,,,2015/6/9,,,,0.000000,10.040000,,,No,Materials,Financials,N,,,,,,,,Friendly,South Africa,United States,NPK,LAZ,Common Stock,Common Stock,10726.8,10992.4,81852.6,56972.2,7993.5,14360.6,1223.4,,54.7142,,6014.4,,,21891.1,15305.6,3332.236,2363.017,21891.1,FY-specific (point-in-time),3332.236,FY-specific (point-in-time),15305.6,FY-specific (point-in-time),2363.017,FY-specific (point-in-time),,3,2009-04-01,2017-09-30,560,80,6600,190,63.825,4.58333333333333,4420792.5,4420792.5,100.0,5.54552837012652,11727560.0,92845.0,10992.4,Large,Full (4/4),2015
108135892,M&A,2015/6/11,IRA SJ,AFT SJ,Completed,,"Company Takeover, Additional Stake Purchase",Afrimat Ltd acquired Infrasors Holdings Ltd for ZAR 19.22M. The transaction was announced on 6/11/2015 and completed on 10/13/2015.,ZAR,,Cash,,,,2015/10/13,15.88,,,91.279999,8.720000,,,No,Materials,Materials,N,,,,,,,,Friendly,South Africa,South Africa,IRA,AFT,Common Stock,Common Stock,337.274,324.13,9900.95,10009,360.463,8944.64,3.844,,26.8278,35.7046,86.957,3535.1,,326.506,327.51,1479.417249,1901.187222,326.506,FY-specific (point-in-time),1479.417249,FY-specific (point-in-time),327.51,FY-specific (point-in-time),1901.187222,FY-specific (point-in-time),19.22,3,2009-04-01,2017-09-30,560,80,6600,190,63.825,4.58333333333333,4420792.5,4420792.5,100.0,5.54552837012652,11727560.0,10346.274,337.274,Large,Full (4/4),2015
10823834,M&A,2003/3/3,AHV SJ,CRH SJ,Completed,,"Company Takeover, Additional Stake Purchase, Tender Offer",Coronation Holdings Ltd acquired African Harvest Ltd for ZAR 137.81M. The transaction was announced on 3/3/2003 and completed on 7/8/2003.,ZAR,,Cash,,2003/4/15,,2003/7/8,8.38,,,75.000000,25.000000,,,No,Financials,Financials,N,,,,,Rothschild & Co,,,Friendly,South Africa,South Africa,AHV,CRH,Common Stock,Common Stock,38.357,680.291,7026,1383,,,,,,,,,,680.291015625,38.356998443603516,7026,1383,680.291015625,FY-specific (point-in-time),7026.0,FY-specific (point-in-time),38.356998443603516,FY-specific (point-in-time),1383.0,FY-specific (point-in-time),137.81,2,2001-02-01,2009-03-31,200,30,3500,100,33.675,5.96666666666667,1490399.0,3099254.3,48.0889548172927,6.39575753417796,1787194.0,7706.291,680.291,Large,Full (4/4),2003
108247445,BUY,2015/6/15,CMH SJ,CMH SJ,Completed,,,,ZAr,,,,,,2015/7/3,,,,0.000000,0.000000,,,,Consumer Discretionary,Consumer Discretionary,N,,,,,,,,,South Africa,,CMH,CMH,Common Stock,Common Stock,15711.2,5908.41,5908.41,15711.2,889.98,889.98,107.508,,64.4336,64.4336,3807,3807,,2574.11,10703.616,2574.11,10703.616,2574.11,FY-specific (point-in-time),2574.11,FY-specific (point-in-time),10703.616,FY-specific (point-in-time),10703.616,FY-specific (point-in-time),2.50,3,2009-04-01,2017-09-30,560,80,6600,190,63.825,4.58333333333333,4420792.5,4420792.5,100.0,5.54552837012652,11727560.0,31422.4,15711.2,Large,Full (4/4),2015
108682908,M&A,2015/6/24,CCL SJ,WTC AU,Completed,,"Company Takeover, Cross Border, Additional Stake Purchase",WiseTech Global Ltd acquired Compu-Clearing Outsourcing Ltd for ZAR 176.97M. The transaction was announced on 6/24/2015 and completed on 9/22/2015.,ZAR,,Cash,,,,2015/9/22,3.00,,,23.500000,76.500000,,,No,Technology,Technology,N,,,,,,,,Friendly,South Africa,Australia,CCL,WTC,Common Stock,Common Stock,71.968,66.281,79861.8,23594.2,41.649,3641.71,1.91,,50.1592,13.8238,33.246,11039.9,,66.281,71.968,,60.60752183908047,66.281,FY-specific (point-in-time),79861.8,MA-screen (current/latest - NOT point-in-time),71.968,FY-specific (point-in-time),60.60752183908047,FY-specific (point-in-time),176.98,3,2009-04-01,2017-09-30,560,80,6600,190,63.825,4.58333333333333,4420792.5,4420792.5,100.0,5.54552837012652,11727560.0,79933.768,71.968,Small,Full (4/4),2015
108732382,M&A,2015/6/25,ADH SJ,COH SJ,Terminated,,Company Takeover,Curro Holdings Ltd announced the acquisition of Advtech Ltd for ZAR 6712.98M. The transaction was announced on 6/25/2015 and terminated on 7/29/2015.,ZAR,,Cash or Stock,,,,2015/7/29,28.75,,,0.000000,100.000000,,,No,Consumer Discretionary,Consumer Discretionary,N,,,,,,,,Unsolicited,South Africa,South Africa,ADH,COH,Common Stock,Common Stock,9330.4,11297,12321,5144,10581.5,13472,169.1,,8.41993,4.6506,951.2,573,,1960.2,1931.8,4144.001,1000.701,1960.2,FY-specific (point-in-time),4144.001,FY-specific (point-in-time),1931.8,FY-specific (point-in-time),1000.701,FY-specific (point-in-time),6713.01,3,2009-04-01,2017-09-30,560,80,6600,190,63.825,4.58333333333333,4420792.5,4420792.5,100.0,5.54552837012652,11727560.0,23618.0,11297.0,Large,Full (4/4),2015
108842109,M&A,2015/6/26,FPT SJ,RDF SJ,Completed,,"Company Takeover, Additional Stake Purchase",Redefine Properties Ltd acquired Fountainhead Property Trust for ZAR 3452.13M. The transaction was announced on 6/26/2015 and completed on 8/11/2015.,ZAR,,Stock,,,,2015/8/11,1.23,,,66.000000,34.000000,,,No,Real Estate,Real Estate,N,,,,,,,,Friendly,South Africa,South Africa,FPT,RDF,REIT,REIT,1282.03,12601.5,106323,11007.4,,,,,,,1386.59,3018.73,,12601.452,1282.033,57490.164,5594.127,12601.452,FY-specific (point-in-time),57490.164,FY-specific (point-in-time),1282.033,FY-specific (point-in-time),5594.127,FY-specific (point-in-time),3452.12,3,2009-04-01,2017-09-30,560,80,6600,190,63.825,4.58333333333333,4420792.5,4420792.5,100.0,5.54552837012652,11727560.0,118924.5,12601.5,Large,Full (4/4),2015
108970285,M&A,2015/6/30,ZSA SJ,ZURN SW,Completed,,Company Takeover,Zurich Insurance Group AG acquired Zurich Insurance Co South Africa Ltd for ZAR 2405.11M. The transaction was announced on 6/30/2015 and completed on 9/22/2015.,ZAR,,Cash,,,,2015/9/22,,,,0.000000,100.000000,,,No,Financials,Financials,N,,,,,,,,Friendly,South Africa,Switzerland,ZSA,ZURN,Common Stock,Common Stock,3392.39,4757.68,6.74621e+06,1.24786e+06,,,,,,,,,,4757.682,3392.387,406529,72781,4757.682,FY-specific (point-in-time),406529.0,FY-specific (point-in-time),3392.387,FY-specific (point-in-time),72781.0,FY-specific (point-in-time),2405.11,3,2009-04-01,2017-09-30,560,80,6600,190,63.825,4.58333333333333,4420792.5,4420792.5,100.0,5.54552837012652,11727560.0,6750967.68,4757.68,Large,Full (4/4),2015
109062983,M&A,2015/6/19,CDZ SJ,SCP SJ,Completed,,"Company Takeover, Cross Border, Additional Stake Purchase",Stellar Capital Partners Ltd acquired Cadiz Holdings Ltd for ZAR 4748.99M. The transaction was announced on 6/19/2015 and completed on 11/3/2015.,ZAR,,Stock,,,,2015/11/3,21.28,,,16.450001,83.550003,,,No,Financials,Financials,N,,,,,,,,Friendly,South Africa,United Kingdom,CDZ,SCP,Common Stock,Common Stock,623.113,6668.99,1151.61,75.586,,,,,,,,471.107,,6149.936,212.902,,,6149.936,FY-specific (point-in-time),1151.61,MA-screen (current/latest - NOT point-in-time),212.902,FY-specific (point-in-time),75.586,MA-screen (current/latest - NOT point-in-time),4748.99,3,2009-04-01,2017-09-30,560,80,6600,190,63.825,4.58333333333333,4420792.5,4420792.5,100.0,5.54552837012652,11727560.0,7820.599999999999,6668.99,Large,Full (4/4),2015
109260627,INV,2015/7/6,TOR SJ,SCP SJ,Completed,,"Cross Border, Minority Purchase",Stellar Capital Partners Ltd acquired a minority stake in Torre Industries Ltd. The transaction was announced on 7/6/2015 and completed on 2/25/2016.,ZAR,,Cash and Stock,,,,2016/2/25,,,,0.000000,26.250000,,,No,Industrials,Financials,N,,,,,,,,Friendly,South Africa,United Kingdom,TOR,SCP,Common Stock,Common Stock,1450,1161,1151.61,75.586,436,,41,,69.1645,,803,471.107,,956.831,433.13,,,956.831,FY-specific (point-in-time),1151.61,MA-screen (current/latest - NOT point-in-time),433.13,FY-specific (point-in-time),75.586,MA-screen (current/latest - NOT point-in-time),690.37,3,2009-04-01,2017-09-30,560,80,6600,190,63.825,4.58333333333333,4420792.5,4420792.5,100.0,5.54552837012652,11727560.0,2601.6099999999997,1450.0,Intermediate,Full (4/4),2015
109260705,INV,2015/7/6,TOR SJ,SCP SJ,Completed,,"Cross Border, Additional Stake Purchase",Stellar Capital Partners Ltd acquired Torre Industries Ltd for ZAR 108.64M. The transaction was announced on 7/6/2015 and completed on 2/25/2016.,ZAR,,Cash,,,,2016/2/25,-43.58,,,26.250000,8.250000,,,No,Industrials,Financials,N,,,,,,,,Friendly,South Africa,United Kingdom,TOR,SCP,Common Stock,Common Stock,1450,1161,1151.61,75.586,436,,41,,69.1645,,803,471.107,,956.831,433.13,,,956.831,FY-specific (point-in-time),1151.61,MA-screen (current/latest - NOT point-in-time),433.13,FY-specific (point-in-time),75.586,MA-screen (current/latest - NOT point-in-time),108.64,3,2009-04-01,2017-09-30,560,80,6600,190,63.825,4.58333333333333,4420792.5,4420792.5,100.0,5.54552837012652,11727560.0,2601.6099999999997,1450.0,Intermediate,Full (4/4),2015
